Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006879,01,5,190800002986,CASH,------,700,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006880,01,5,195018922466,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006881,01,5,196790001364,CASH,------,340,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006882,01,5,195751940608,CASH,------,720,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006883,01,5,196781925278,CASH,------,530,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006884,01,5,196781904858,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006885,01,5,196800122564,CASH,------,430,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006886,01,8,195260000824,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006887,01,5,195281942366,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006888,01,5,195010001507,CASH,------,260,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006889,01,5,195010002996,CASH,------,650,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006890,01,5,195011986531,CASH,------,560,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006891,01,5,195010052551,CASH,------,260,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006892,01,5,195010010859,CASH,------,1570,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006892,05,5,195010010859,CASH,------,1080,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006893,01,5,195320054121,CASH,------,450,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006894,01,5,195291935589,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006895,01,1,195870089649,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006896,01,1,195870000907,CASH,------,500,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006897,01,1,195870089100,CASH,------,690,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006898,01,5,196930000886,CASH,------,530,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006899,05,5,195630000985,CASH,------,70,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006899,01,5,195630000985,CASH,------,460,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006900,01,5,195631903636,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006901,01,5,195740001260,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006902,01,5,195010054465,CASH,------,340,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006903,01,8,195260048967,CASH,------,180,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006904,01,5,195011987112,CASH,------,370,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006905,01,5,195010001329,CASH,------,1130,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006906,01,8,195260000964,CASH,------,1010,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006907,01,5,195012932770,CASH,------,2160,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006907,04,5,195012932770,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006907,05,5,195012932770,CASH,------,640,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006908,05,5,195621930066,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006908,01,5,195621930066,CASH,------,100,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006909,01,5,195460061950,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006910,05,2,196510003251,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006910,01,2,196510003251,CASH,------,3510,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006911,01,1,195020013317,NEFT,------,8200,--------
010965012-Medha Sub Division Office Coll.,03-Dec-25,0006912,01,1,195020011853,NEFT,------,8920,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160927,01,8,195041943004,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160928,01,8,195040053391,CASH,------,730,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160929,01,8,195040018706,CASH,------,130,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160930,01,8,195040045959,CASH,------,360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160931,01,8,195041941419,CASH,------,210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160932,01,1,195871966546,CASH,------,390,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160933,01,8,195270049937,CASH,------,410,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160934,01,8,195051931608,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160935,01,8,195730001130,CASH,------,520,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160936,01,8,195270000776,CASH,------,320,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160937,01,1,195940000683,CASH,------,700,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160938,01,1,195940094459,CASH,------,1730,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160939,01,8,195140000642,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160940,01,8,195140036388,CASH,------,310,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160941,01,8,195141947538,CASH,------,440,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160942,01,8,195141957517,CASH,------,310,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160943,01,8,195141952167,CASH,------,950,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160944,01,8,195141958165,CASH,------,280,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160945,01,8,195140001959,CASH,------,420,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160946,01,8,195140036132,CASH,------,850,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160947,01,8,195141927375,CASH,------,400,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160948,01,8,195140000715,CASH,------,520,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160949,01,1,195870001610,CASH,------,3080,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160950,01,1,195870089185,CASH,------,680,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160951,01,1,195020001963,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160952,01,0,195870000711,CASH,------,720,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160953,01,8,195050003022,CASH,------,240,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160954,01,8,195050023554,CASH,------,420,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160955,01,8,195520067162,CASH,------,500,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160956,01,8,195050003561,CASH,------,550,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160957,01,8,195051924121,CASH,------,360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160958,01,8,195441940152,CASH,------,440,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160959,01,8,195140002343,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160960,01,1,195880001405,CASH,------,560,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160961,01,1,195881961933,CASH,------,530,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160962,01,1,195880001928,CASH,------,380,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160963,01,8,195040021146,CASH,------,2050,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160964,01,8,195040001641,CASH,------,540,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160965,01,8,195041931499,CASH,------,170,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160966,05,8,195040052327,CASH,------,660,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160966,01,8,195040052327,CASH,------,970,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160967,01,8,195050002328,CASH,------,1060,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160968,01,8,195041937284,CASH,------,1040,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160969,01,8,196940128503,CASH,------,1150,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,03-Dec-25,0160970,01,8,195040021774,CASH,------,120,--------
