Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007216,05,6,196091983771,CASH,------,560,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007216,01,6,196091983771,CASH,------,640,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007217,01,6,196560000741,CASH,------,1000,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007218,01,1,195870090213,CASH,------,250,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007219,01,5,195011987449,CASH,------,460,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007220,01,0,195200041831,NEFT,------,1300,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007221,01,6,196010000639,NEFT,------,5390,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007222,01,5,195670076844,CASH,------,1050,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007223,01,5,195010004107,CASH,------,450,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007224,01,5,195911920072,CASH,------,650,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007225,01,5,196070000654,CASH,------,1000,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007226,01,0,195018922636,NEFT,------,10690,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007227,10,5,195010053442,NEFT,------,28270,--------
010965012-Medha Sub Division Office Coll.,17-Dec-25,0007228,01,0,196600000855,NEFT,------,3520,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162080,01,1,195870001768,CASH,------,210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162081,01,8,195051952273,CASH,------,600,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162082,01,8,195310000031,CASH,------,750,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162083,01,8,195051947261,CASH,------,1210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162084,01,8,195051956970,CASH,------,620,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162085,01,1,195870089584,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162086,01,8,195150001850,CASH,------,190,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162087,01,8,195150037749,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162088,05,8,195110002764,CASH,------,650,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162088,01,8,195110002764,CASH,------,1080,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162089,01,8,195051933686,CASH,------,730,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162090,01,1,190564092383,CASH,------,620,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162091,01,8,195040002320,CASH,------,270,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162092,01,8,195040001340,CASH,------,2210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162093,01,8,195040020140,CASH,------,280,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162094,01,8,195140036540,CASH,------,510,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162095,01,8,195110033449,CASH,------,480,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162096,01,1,195870090175,CASH,------,500,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162097,01,8,195041947212,CASH,------,1100,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162098,01,8,195211949754,CASH,------,250,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162099,01,8,195451924376,CASH,------,480,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162100,01,1,195070001379,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162101,01,8,195050024658,CASH,------,400,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162102,01,8,195760001151,CASH,------,260,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162103,01,8,195050023929,CASH,------,1030,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162104,01,8,195051924831,CASH,------,360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162105,01,8,195050023635,CASH,------,210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162106,01,8,196941946153,CASH,------,800,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162107,01,8,195040021511,CASH,------,260,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162108,01,8,195041959237,CASH,------,1150,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162109,01,8,195040000033,CASH,------,310,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162110,01,8,195150001027,CASH,------,240,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162111,01,8,195151927560,CASH,------,550,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162112,01,1,195070003207,CASH,------,470,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162113,01,8,195050024402,CASH,------,210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162114,01,8,195141930660,CASH,------,530,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162115,01,8,195040002541,CASH,------,580,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162116,01,8,195041928668,CASH,------,670,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162117,01,8,195040046084,CASH,------,1230,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162118,01,8,195041947506,CASH,------,520,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162119,01,8,196900126419,CASH,------,360,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162120,01,8,196901922090,CASH,------,780,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162121,01,8,195150001612,CASH,------,300,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162122,01,8,195150002295,CASH,------,430,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162123,01,1,195871979851,CASH,------,90,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162124,01,1,195871975138,CASH,------,320,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162125,01,8,195040018455,CASH,------,510,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162126,01,8,195211929451,CASH,------,200,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162127,01,8,195041939121,CASH,------,610,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162128,01,8,195150001957,CASH,------,330,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162129,01,8,195041935397,CASH,------,650,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162130,01,8,195040002125,CASH,------,820,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162131,01,8,195041933483,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162132,01,8,195041935427,CASH,------,740,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162133,01,8,195110000095,CASH,------,40,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162134,01,8,195210044499,CASH,------,1060,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162135,01,8,195150037854,CASH,------,1370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162136,01,8,195150002163,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162137,01,8,195211954766,CASH,------,260,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162138,01,8,195211959318,CASH,------,800,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162139,01,8,195151922436,CASH,------,530,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162140,01,8,195050024887,CASH,------,420,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162141,01,8,195042253702,CASH,------,4330,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162142,01,8,195151941392,CASH,------,430,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162143,01,8,195150038087,CASH,------,960,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162144,01,8,195210001579,CASH,------,200,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162145,01,8,195151925486,CASH,------,250,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162146,01,8,196941941313,CASH,------,940,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162147,01,8,196941920308,CASH,------,490,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162148,01,8,195210043671,CASH,------,310,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162149,01,8,195041956980,CASH,------,2270,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162150,01,8,195041984886,CASH,------,800,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162151,01,8,195041932100,CASH,------,410,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162152,01,8,195041932746,CASH,------,2320,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162153,01,8,195141955468,CASH,------,130,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,17-Dec-25,0162154,01,1,195871979842,CASH,------,280,--------
