Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007173,01,5,187170000041,CASH,------,270,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007174,01,5,195511904400,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007175,01,5,195481943626,CASH,------,480,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007176,01,5,195010003810,CASH,------,2970,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007177,01,8,188670001716,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007178,01,5,196230001059,CASH,------,850,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007179,01,5,195010001566,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007180,01,5,195511906593,CASH,------,750,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007181,01,5,195011951274,CASH,------,2500,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007182,01,5,195010011031,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007183,01,5,195320054104,CASH,------,640,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007184,01,6,196192004146,NEFT,------,50,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007185,01,6,196190000674,NEFT,------,170,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007186,01,6,196192001961,NEFT,------,580,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007187,01,6,196190000992,NEFT,------,240,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007188,01,6,196190001719,NEFT,------,130,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007189,01,6,196191981784,NEFT,------,1550,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007190,01,6,196191981792,NEFT,------,130,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007191,01,6,196500113717,NEFT,------,380,--------
010965012-Medha Sub Division Office Coll.,16-Dec-25,0007192,01,6,196501988326,NEFT,------,320,--------
