Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006810,01,5,196150102474,CASH,------,1570,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006811,01,5,196441915219,CASH,------,980,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006812,01,5,195800083899,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006813,05,6,196060000648,CASH,------,870,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006813,01,6,196060000648,CASH,------,3130,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006814,01,5,195481950223,CASH,------,560,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006815,01,5,195480000752,CASH,------,340,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006816,01,5,195291943611,CASH,------,700,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006817,01,5,195800083902,CASH,------,270,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006818,01,5,195800083872,CASH,------,780,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006819,01,6,196710000010,CASH,------,580,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006820,01,5,195801919184,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006821,05,5,195200041858,CASH,------,268,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006822,05,8,196111940284,CASH,------,790,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006822,01,8,196111940284,CASH,------,4210,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006823,01,5,195011914361,CASH,------,300,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006824,01,6,195160038425,CASH,------,1000,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006825,01,5,196371952472,CASH,------,1540,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006826,01,5,195012931013,CASH,------,610,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006827,01,5,195291923394,CASH,------,180,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006828,01,5,195290001604,CASH,------,520,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006829,01,5,195011932211,CASH,------,160,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006830,01,5,195010009788,CASH,------,590,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006831,01,5,195531931501,CASH,------,260,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006832,01,5,195010009371,CASH,------,1880,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006833,01,5,195481938771,CASH,------,1290,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006834,01,5,195010001141,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,01-Dec-25,0006835,01,5,195670000015,CASH,------,1100,--------
