Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007135,01,5,195970001277,CASH,------,1260,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007135,05,5,195970001277,CASH,------,410,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007136,01,5,195500066097,CASH,------,1070,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007137,01,1,194390001125,CASH,------,20,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007138,01,5,196230105750,CASH,------,140,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007139,01,5,195531950297,CASH,------,660,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007140,01,5,195460001159,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007141,01,5,195680001192,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007142,01,6,196470000670,CASH,------,2000,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007143,01,6,195390000923,CASH,------,2370,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007143,04,6,195390000923,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007143,05,6,195390000923,CASH,------,320,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007144,01,5,195550001042,CASH,------,210,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007145,05,6,195380000984,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007145,01,6,195380000984,CASH,------,100,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007146,01,5,196920001035,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007147,01,5,195501923317,CASH,------,1500,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007148,01,5,195501918127,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007149,04,5,195010052675,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007149,01,5,195010052675,CASH,------,890,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007149,05,5,195010052675,CASH,------,790,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007150,01,5,195012927261,CASH,------,660,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007151,01,5,195480002542,CASH,------,810,--------
010965012-Medha Sub Division Office Coll.,12-Dec-25,0007152,01,0,196510001135,NEFT,------,67410,--------
