Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007057,01,5,196930000860,CASH,------,1040,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007058,01,5,195011932938,CASH,------,510,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007059,01,5,196930001874,CASH,------,470,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007060,01,5,195010002210,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007061,01,5,195011912007,CASH,------,1370,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007062,01,8,195430059811,CASH,------,250,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007063,01,0,195011931168,CASH,------,820,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007064,01,8,195050024453,CASH,------,460,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007065,01,5,195012927369,CASH,------,400,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007066,01,5,195320000748,CASH,------,480,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007067,01,5,196800001163,CASH,------,2400,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007068,01,5,196800001091,CASH,------,320,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007069,05,5,195581920666,CASH,------,830,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007069,01,5,195581920666,CASH,------,100,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007070,01,5,195201906291,CASH,------,820,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007071,01,0,196600116144,CHEQUE,020770,720,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007072,01,0,196600001215,CHEQUE,020770,80110,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007073,01,0,195351996361,CHEQUE,020770,24430,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007074,01,0,195361993859,CHEQUE,020503,9020,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007075,01,0,195370057571,CHEQUE,020503,31620,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007075,05,0,195370057571,CHEQUE,020503,1960,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007076,05,5,196351942926,CHEQUE,142931,820,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007076,01,5,196351942926,CHEQUE,142931,2890,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007077,05,0,196151951467,CHEQUE,124112,1490,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007077,01,0,196151951467,CHEQUE,124112,6990,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007078,05,0,195560070697,NEFT,------,970,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007078,01,0,195560070697,NEFT,------,13370,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007079,01,5,195560000737,NEFT,------,2080,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007080,01,5,195010004018,NEFT,------,6770,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007081,02,5,195011988984,NEFT,------,1840,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007082,01,5,195010003585,CASH,------,4280,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007083,01,5,195011925044,CASH,------,4580,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007084,01,5,195010003682,CASH,------,1250,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007085,01,5,195480001830,CASH,------,660,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007086,01,5,188680000751,CASH,------,230,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007087,01,5,196931912072,CASH,------,720,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007088,01,5,195011905906,CASH,------,1210,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007089,01,5,195011937905,CASH,------,840,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007090,01,5,196931900813,CASH,------,1090,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007091,01,5,196230105407,CASH,------,480,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007092,05,5,195290051571,CASH,------,900,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007092,01,5,195290051571,CASH,------,100,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007093,01,5,196830123808,CASH,------,2790,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007094,01,5,195011939061,CASH,------,1000,--------
010965012-Medha Sub Division Office Coll.,09-Dec-25,0007095,01,5,195620001762,CASH,------,590,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,09-Dec-25,0161484,01,8,195040046904,CASH,------,600,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,09-Dec-25,0161485,01,8,195210000963,CASH,------,370,--------
