Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007153,01,5,195011986736,CASH,------,620,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007154,01,6,187160000697,CASH,------,3110,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007154,05,6,187160000697,CASH,------,1190,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007155,01,8,196110001195,CASH,------,520,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007156,01,8,196110101742,CASH,------,170,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007157,01,6,196521988365,CASH,------,200,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007158,01,5,195010002759,CASH,------,650,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007159,01,2,195820084191,CASH,------,2000,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007160,01,6,195100032762,CASH,------,2550,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007161,01,5,196930001611,CASH,------,430,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007162,01,8,195431956409,CASH,------,160,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007163,01,5,195011913160,CASH,------,1020,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007164,01,5,195800000659,CASH,------,440,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007165,01,5,195500000851,CASH,------,980,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007166,01,5,195481921240,CASH,------,2000,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007167,01,5,195011942119,CASH,------,930,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007168,01,5,196931935218,CASH,------,450,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007169,01,5,195471951396,CASH,------,350,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007170,01,0,196510001097,NEFT,------,188310,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007171,01,5,195010006215,NEFT,------,4070,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007172,05,5,195011919702,NEFT,------,3880,--------
010965012-Medha Sub Division Office Coll.,15-Dec-25,0007172,01,5,195011919702,NEFT,------,10940,--------
