Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006913,01,5,195010003674,CASH,------,220,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006914,01,5,196781932657,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006915,01,5,195500065805,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006916,01,5,195240000623,CASH,------,220,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006917,01,5,195240045759,CASH,------,200,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006918,01,5,195241910011,CASH,------,1420,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006919,01,5,195011988569,CASH,------,350,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006920,01,5,195300052032,CASH,------,440,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006921,01,5,195671923273,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006922,01,5,196070000701,CASH,------,270,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006923,01,5,196351939682,CASH,------,770,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006924,01,5,195551942967,CASH,------,1160,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006925,01,5,195011928558,CASH,------,390,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006926,01,5,195501918178,CASH,------,220,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006927,01,8,196110000792,CASH,------,500,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006928,01,5,196790001976,CASH,------,350,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006929,01,5,196930127991,CASH,------,860,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006930,01,5,195481935844,CASH,------,350,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006931,01,6,196710000630,CASH,------,580,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006932,01,5,195461906503,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006933,01,5,195530001097,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006934,01,5,195010003178,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006935,01,5,195011935767,CASH,------,1990,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006936,01,5,195470001483,CASH,------,230,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006937,05,5,195200041602,CASH,------,1350,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006937,01,5,195200041602,CASH,------,1480,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006938,01,5,195201922971,CASH,------,790,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006939,01,5,195320054066,CASH,------,430,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006940,01,5,195011939835,CHEQUE,104042,9210,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006940,05,5,195011939835,CHEQUE,104042,1810,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006941,01,5,195280000740,CHEQUE,949446,1320,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006942,01,5,195281941165,CHEQUE,949446,1260,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006943,05,0,195601969209,CHEQUE,009405,1300,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006943,01,0,195601969209,CHEQUE,009405,8700,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006944,01,0,195600000981,CHEQUE,009405,5000,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006945,01,0,195751949311,CHEQUE,112917,290,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006946,05,0,195571921443,CHEQUE,125981,840,--------
010965012-Medha Sub Division Office Coll.,04-Dec-25,0006946,01,0,195571921443,CHEQUE,125981,5020,--------
