Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006948,01,5,195550000712,CASH,------,630,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006949,01,5,195551901462,CASH,------,950,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006950,01,5,196910126816,CASH,------,300,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006951,01,5,195011932342,CASH,------,200,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006952,01,5,195010003101,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006953,01,5,195010054261,CASH,------,730,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006954,01,5,195010009940,CASH,------,740,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006955,01,5,195010001680,CASH,------,1090,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006956,01,5,195470001653,CASH,------,350,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006957,01,5,195511904442,CASH,------,420,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006958,01,5,195011926334,CASH,------,470,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006959,01,5,196071922768,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006960,01,5,195010001523,CASH,------,2440,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006961,01,5,195830085161,CASH,------,320,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006962,01,5,195530001321,CASH,------,370,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006963,01,5,195530067985,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006964,01,5,195290001175,CASH,------,350,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006965,01,5,196620116841,CASH,------,700,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006966,01,5,196620000967,CASH,------,1270,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006966,04,5,196620000967,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006967,05,6,195370057627,CASH,------,1060,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006967,04,6,195370057627,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006967,01,6,195370057627,CASH,------,1730,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006968,01,5,195011988381,CASH,------,700,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006969,01,5,195012933083,CASH,------,750,--------
010965012-Medha Sub Division Office Coll.,05-Dec-25,0006970,01,5,195481941305,CASH,------,350,--------
