Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007119,01,0,195911922008,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007120,01,5,195011986621,CASH,------,1080,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007121,01,5,195010053507,CASH,------,3610,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007122,01,5,196780001960,CASH,------,1040,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007123,01,5,195011924421,CASH,------,860,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007124,01,6,196500000904,CASH,------,550,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007125,01,5,195470000843,CASH,------,450,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007126,01,5,195470062326,CASH,------,220,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007127,01,5,196611905281,CASH,------,210,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007128,01,5,195670077174,CASH,------,250,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007129,01,8,195210043735,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007130,01,5,195011915618,CASH,------,990,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007131,01,5,195011910128,CASH,------,900,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007132,01,5,195011943328,CASH,------,840,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007133,01,0,196510000830,NEFT,------,13010,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007133,05,0,196510000830,NEFT,------,9700,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007134,05,0,196630000612,CHEQUE,966865,3100,--------
010965012-Medha Sub Division Office Coll.,11-Dec-25,0007134,01,0,196630000612,CHEQUE,966865,19430,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161657,01,8,195141924007,CASH,------,500,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161658,01,8,196591953615,CASH,------,580,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161659,01,8,195271937038,CASH,------,260,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161660,01,8,195270002710,CASH,------,570,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161661,01,8,195050001836,CASH,------,1020,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161662,01,5,193330002606,CASH,------,190,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161663,01,5,193330151041,CASH,------,160,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161664,01,8,195261928189,CASH,------,320,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161665,01,8,195490000025,CASH,------,610,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161666,01,8,195141943176,CASH,------,330,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161667,01,8,195140036531,CASH,------,330,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161668,01,8,195040046599,CASH,------,500,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161669,01,8,195111936523,CASH,------,720,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161670,01,8,195040001587,CASH,------,180,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161671,01,8,195051922820,CASH,------,440,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161672,01,8,195310001291,CASH,------,780,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161673,01,8,195731932943,CASH,------,480,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161674,01,8,195040046823,CASH,------,690,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161675,01,8,195211935648,CASH,------,250,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161676,01,8,195491927424,CASH,------,390,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161677,01,8,195441941281,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161678,01,8,195050001640,CASH,------,1030,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161679,01,8,195440061236,CASH,------,1080,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161680,01,8,195490001919,CASH,------,230,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161681,01,8,195491924824,CASH,------,940,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161682,01,8,195050002158,CASH,------,350,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161683,01,8,195431941142,CASH,------,190,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161684,01,8,196901935663,CASH,------,380,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161685,01,8,195270003058,CASH,------,1090,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161686,01,8,196860000824,CASH,------,310,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161687,01,8,196901956792,CASH,------,600,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161688,01,8,195141959510,CASH,------,320,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161689,01,8,195040053528,CASH,------,1620,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161689,05,8,195040053528,CASH,------,600,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161690,01,8,195431949950,CASH,------,900,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161691,01,8,195110033759,CASH,------,1090,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161692,01,8,195110033155,CASH,------,570,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161693,01,8,195041928625,CASH,------,450,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161694,01,8,195050024623,CASH,------,720,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161695,01,8,195041952771,CASH,------,420,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161696,01,8,195040001200,CASH,------,1090,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161697,01,8,195040052785,CASH,------,200,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161698,01,8,195051959189,CASH,------,230,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161699,01,8,195050025085,CASH,------,510,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161700,01,8,196591944641,CASH,------,370,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161701,01,8,195210044073,CASH,------,410,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161702,01,8,195760000928,CASH,------,410,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161703,01,8,195110034356,CASH,------,170,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161704,01,8,195050024305,CASH,------,330,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161705,01,8,195150037897,CASH,------,170,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161706,01,8,195491936199,CASH,------,230,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161707,01,8,195040022606,CASH,------,520,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161708,01,8,195041923747,CASH,------,800,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161709,01,8,195041927882,CASH,------,210,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161710,01,8,195041933009,CASH,------,340,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161711,01,8,195491947093,CASH,------,660,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161712,01,8,195041925987,CASH,------,280,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161713,01,8,195041983928,CASH,------,790,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161714,01,8,195260048860,CASH,------,230,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161715,01,8,195210001277,CASH,------,570,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161716,01,8,196941938878,CASH,------,130,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161717,01,8,195111950364,CASH,------,320,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,11-Dec-25,0161718,01,8,195041956491,CASH,------,130,--------
