Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162243,01,8,195041951244,CASH,------,290,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162244,01,8,195490000980,CASH,------,630,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162245,01,8,195731940440,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162246,01,8,195731957369,CASH,------,260,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162247,01,8,195040046891,CASH,------,2010,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162248,01,8,195040002451,CASH,------,780,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162249,01,8,195210044367,CASH,------,160,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162250,01,8,195151947692,CASH,------,670,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162251,01,8,195150000918,CASH,------,640,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162252,01,8,195150037561,CASH,------,250,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162253,01,8,195150002279,CASH,------,220,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162254,01,8,195150037064,CASH,------,200,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162255,01,8,195150001469,CASH,------,300,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162256,01,8,195151943948,CASH,------,380,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162257,01,8,195151935511,CASH,------,280,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162258,01,8,195041941231,CASH,------,4330,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162259,01,1,195870000061,CASH,------,340,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162260,01,8,195151941350,CASH,------,520,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162261,01,8,195040000327,CASH,------,550,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162262,01,1,195870090167,CASH,------,170,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162263,01,1,195871965761,CASH,------,160,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,20-Dec-25,0162264,01,8,195730080307,CASH,------,170,--------
