Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006987,01,5,195790000795,CASH,------,250,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006988,01,5,195010008706,CASH,------,220,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006989,01,5,195018922458,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006990,01,5,195011900378,CASH,------,200,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006991,01,5,195011925761,CASH,------,700,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006992,01,5,195011950731,CASH,------,620,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006993,01,5,195011942551,CASH,------,1020,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006993,05,5,195011942551,CASH,------,530,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006994,01,5,195800083821,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006995,01,5,195012933091,CASH,------,1450,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006996,01,5,195010011073,CASH,------,360,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006997,01,5,196791930857,CASH,------,500,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006998,01,6,196520000757,CASH,------,190,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0006999,01,6,196520000749,CASH,------,270,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007000,01,5,195011942674,CASH,------,500,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007001,01,5,195011942330,CASH,------,250,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007002,01,5,195500001769,CASH,------,330,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007003,01,6,195960000710,CASH,------,430,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007004,01,5,195800000667,CASH,------,310,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007005,01,5,195241914696,CASH,------,450,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007006,02,2,195770001434,NEFT,------,1800,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007007,01,5,195011987724,CASH,------,3760,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007008,02,8,195490002117,NEFT,------,13960,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007008,03,8,195490002117,NEFT,------,8000,--------
010965012-Medha Sub Division Office Coll.,08-Dec-25,0007009,01,5,195290001094,CASH,------,340,--------
