Col Centre Code,Receipt Date,Receipt Number,Receipt Type,PC,Consumer No,Mode,Cheque No,Receipt Amount,Modification
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007234,05,5,195531941018,CASH,------,600,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007234,01,5,195531941018,CASH,------,540,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007235,01,5,195301928721,CASH,------,900,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007236,01,5,195010002490,CASH,------,3490,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007237,01,8,195431943307,CASH,------,320,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007238,01,8,195341942760,CASH,------,260,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007239,01,5,195321907500,CASH,------,480,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007240,01,5,195011915898,CASH,------,130,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007241,01,5,195281906009,CASH,------,1900,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007242,01,5,195470063225,CASH,------,840,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007243,01,5,195010052314,CASH,------,4000,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007244,01,1,195080001717,CHEQUE,010280,6881,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007245,05,5,196461927582,NEFT,------,530,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007245,01,5,196461927582,NEFT,------,1110,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007246,01,5,196461936085,NEFT,------,950,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007247,01,5,196460001082,NEFT,------,720,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007248,01,5,195201934465,NEFT,------,6110,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007249,01,0,195201918991,NEFT,------,8580,--------
010965012-Medha Sub Division Office Coll.,19-Dec-25,0007250,01,6,196730000733,NEFT,------,6802,--------
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,19-Dec-25,0162217,01,8,196861948457,CASH,------,1450,--------
